Tue Apr 28 21:09:46 +0000 2020, --> ,RTs: 0, --> ,Why is Chinese virus considered racist when these things aren't:  West Nile Virus Lyme Disease Ebola MERS Norovirus Spanish Flu Legionnaire’s Disease Hong Kong Flu  The list really does go on and on. Why is calling something after the place it originated from racist? 
Tue Apr 28 21:09:33 +0000 2020, --> ,RTs: 0, --> ,@AFCfeyz Since Chinese virus has cause so much pain and trauma to people stick to Indian from now on... 
Tue Apr 28 21:09:32 +0000 2020, --> ,RTs: 71, --> ,@realDonaldTrump . ☑️ VIRUS CRIME  - OBAMA &amp; FAUCI FUNDED DR. &amp; RESEARCH that was BANNED in U.S.  Chinese Doctor &amp; Project were BANNED in the U.S. - Obama &amp; Fauci then BYPASSED - Funded the Known Risk-filled Project in China instead  . 🤔 https://t.co/HCISJf4V2x 
Tue Apr 28 21:09:21 +0000 2020, --> ,RTs: 0, --> ,@sloan_86333 @kanniekaknie Foreign doctors went to help the Chinese where the corona was founded. South Africa only got the virus from importing it from overseas. Now we going to open our borders and bring it in with foreign doctors. 
Tue Apr 28 21:09:19 +0000 2020, --> ,RTs: 0, --> ,Chile suffers from two viruses infecting the population. The Chinese virus which will be dealt with and the more lethal socialist virus which will kill freedom in the once prosperous South American country. React Chile! https://t.co/WiNfhMelCE 
Tue Apr 28 21:09:17 +0000 2020, --> ,RTs: 0, --> ,.@realDonaldTrump (those pesky taxes sir) A farmer cannot sell meat directly to consumers but a restaurant and grocery store can. How ridiculous is that? - Laws and rules kill more of us than the Chinese virus  Hat tip: Seer1965 theawakening https://t.co/CjtkpszvhS 
Tue Apr 28 21:09:07 +0000 2020, --> ,RTs: 0, --> ,With the Chinese virus going on I wouldn’t normally stop for hitchhikers but I’ll make an exception today😇😂 https://t.co/y5H4nld6oO 
Tue Apr 28 21:09:04 +0000 2020, --> ,RTs: 0, --> ,@RichardGrenell @DonaldJTrumpJr . 📺FAKE NEWS   - FOX DUMPS DIAMOND &amp; SILK after THEY SPEAK TRUTH on CHINESE VIRUS  FOX News Cuts Ties with Diamond and Silk After Questioning Chinese Virus Numbers  . 👉🏼 FOX moving more and more to being full-time Fake News ... https://t.co/FYQ4O7SuLK 
Tue Apr 28 21:08:57 +0000 2020, --> ,RTs: 0, --> ,📌 ICYMI 📌  ➡️ 26 million Americans are out of work because of this virus.   ➡️ Almost 56000 Americans are dead because of this virus.   A combination of gross negligence plus willful deception by the Chinese government led to this.  https://t.co/aBp9G9bG4C 
Tue Apr 28 21:08:46 +0000 2020, --> ,RTs: 0, --> ,Keep in mind that they have no idea if this is true or not and are trying to keep us living in fear.   Virus Likely to Keep Coming Back Each Year Say Top Chinese Scientists https://t.co/OYNNeZAUav 
Tue Apr 28 21:08:43 +0000 2020, --> ,RTs: 0, --> ,The virus is 0% Trump's fault  Meanwhile US Intel *repeatedly* warned Trump that the Chinese Govt is lying. Trump didn't read the reports &amp; instead *repeatedly* praised the Chinese Govt's transparency  That is 100% Trump's fault. So are the consequences. https://t.co/4M2Y3ekZo5 https://t.co/jajvljs0W1 
Tue Apr 28 21:08:37 +0000 2020, --> ,RTs: 0, --> ,@NBCNews so he's stated he has been tested SEVERAL times but to the left thats not enough.. Gee and I thought the idiots on the left liked science. Soo how can someone who doesn't have it spread the CHINESE VIRUS 
Tue Apr 28 21:08:34 +0000 2020, --> ,RTs: 0, --> ,I’m running for Congress against a man who recently pointed out that we are not being invaded by the Chinese army but by a Chinese virus.   We need to fire Clay Higgins.   Will you help me send him packing by giving $27 to my campaign today? https://t.co/EXMKaFpgO8 
